1,51,41010,210101,2026-07-23,2026-07-29,405.7,0.89

2,51,41708,160205,2026-07-30,2026-08-11,276.0,0.81

3,51,42949,210115,2026-08-12,2026-08-29,393.7,0.82

4,51,41584,160204,2026-08-30,2026-09-10,327.8,0.91

5,51,42796,210114,2026-09-11,2026-09-25,247.3,0.84

6,51,41963,210108,2026-09-26,2026-10-11,239.3,0.91

7,51,42258,210110,2026-10-12,2026-10-18,246.5,0.83

8,51,42796,210114,2026-10-19,2026-10-31,199.6,0.85

9,51,42796,210114,2026-11-01,2026-11-17,366.9,0.91

10,51,43084,210116,2026-11-18,2026-11-28,393.8,0.92

11,51,41147,160202,2026-11-29,2026-12-04,230.7,0.88

12,52,41837,160206,2026-07-23,2026-08-05,206.6,0.9

13,52,41584,160204,2026-08-06,2026-08-17,353.0,0.82

14,52,41963,210108,2026-08-18,2026-09-02,319.6,0.82

15,52,43084,210116,2026-09-03,2026-09-07,193.4,0.83

16,52,41584,210105,2026-09-08,2026-09-14,249.9,0.83

17,52,42949,210115,2026-09-15,2026-09-25,268.2,0.85

18,52,42646,210113,2026-09-26,2026-10-09,419.8,0.84

19,52,42796,160208,2026-10-10,2026-10-18,224.0,0.91

20,52,42097,210109,2026-10-19,2026-10-31,272.9,0.91

21,52,41010,160201,2026-11-01,2026-11-11,391.4,0.84

22,52,42949,210115,2026-11-12,2026-11-28,393.8,0.8

23,52,41584,210105,2026-11-29,2026-12-04,184.5,0.91

24,53,41708,160205,2026-07-23,2026-08-05,337.3,0.92

25,53,41584,210105,2026-08-06,2026-08-23,360.5,0.8

26,53,41584,160204,2026-08-24,2026-09-06,190.2,0.88

27,53,41963,210108,2026-09-07,2026-09-16,262.5,0.83

28,53,42097,160207,2026-09-17,2026-09-30,325.3,0.84

29,53,42258,210110,2026-10-01,2026-10-06,212.6,0.9

30,53,41584,210105,2026-10-07,2026-10-24,264.3,0.8

31,53,42097,210109,2026-10-25,2026-11-02,217.3,0.82

32,53,42258,210110,2026-11-03,2026-11-08,406.8,0.82

33,53,42258,210110,2026-11-09,2026-11-15,334.0,0.88

34,53,42796,160208,2026-11-16,2026-11-24,327.7,0.85

35,53,41708,160205,2026-11-25,2026-12-01,369.7,0.87

36,53,41963,210108,2026-12-02,2026-12-04,278.7,0.88

